	Metagenome Bin ID	Difference Score
0	3300056624_27_matches.tsv	388
1	3300056850_283_matches.tsv	389
2	3300056789_15_matches.tsv	391
3	3300056850_34_matches.tsv	391
4	3300056623_109_matches.tsv	394
5	3300056789_22_matches.tsv	396
6	3300056999_96_matches.tsv	397
7	3300055001_425_matches.tsv	398
8	3300056831_329_matches.tsv	398
9	3300056850_475_matches.tsv	398
10	3300055001_225_matches.tsv	398
11	3300056625_329_matches.tsv	398
12	3300056850_410_matches.tsv	398
13	3300056827_346_matches.tsv	399
14	3300056850_478_matches.tsv	399
15	3300056759_96_matches.tsv	400
16	3300056789_137_matches.tsv	400
17	3300055001_54_matches.tsv	400
18	3300056827_388_matches.tsv	401
19	3300028804_41_matches.tsv	401
20	3300056825_41_matches.tsv	401
21	3300055001_221_matches.tsv	402
22	3300056831_13_matches.tsv	402
23	3300056825_126_matches.tsv	402
24	3300056626_314_matches.tsv	403
25	3300056623_171_matches.tsv	403
26	3300056850_184_matches.tsv	403
27	3300056999_148_matches.tsv	403
28	3300056626_39_matches.tsv	403
29	3300056999_181_matches.tsv	403
30	3300055001_130_matches.tsv	404
31	3300056625_427_matches.tsv	404
32	3300056626_254_matches.tsv	404
33	3300056831_58_matches.tsv	404
34	3300055001_111_matches.tsv	404
35	3300056625_349_matches.tsv	404
36	3300056759_396_matches.tsv	405
37	3300055001_30_matches.tsv	405
38	3300055001_236_matches.tsv	405
39	3300056850_219_matches.tsv	405
40	3300056999_52_matches.tsv	405
41	3300056827_35_matches.tsv	406
42	3300056825_295_matches.tsv	406
43	3300056626_42_matches.tsv	406
44	3300012956_140_matches.tsv	406
45	3300055001_79_matches.tsv	406
46	3300056626_152_matches.tsv	407
47	3300056626_317_matches.tsv	407
48	3300056825_428_matches.tsv	408
49	3300005659_33_matches.tsv	408
50	3300056999_153_matches.tsv	408
51	3300056625_228_matches.tsv	408
52	3300056626_305_matches.tsv	409
53	3300055001_295_matches.tsv	409
54	3300056827_376_matches.tsv	409
55	3300056626_164_matches.tsv	409
56	3300056759_503_matches.tsv	409
57	3300056850_28_matches.tsv	409
58	3300056759_93_matches.tsv	410
59	3300028804_40_matches.tsv	410
60	3300056625_344_matches.tsv	410
61	3300056626_308_matches.tsv	410
62	3300056999_165_matches.tsv	410
63	3300058930_56_matches.tsv	410
64	3300056999_268_matches.tsv	410
65	3300056999_338_matches.tsv	411
